"Signal","Type","DataType","Deprecated","Complex","Unit","Min","Max","Desc","Enum","Id"
"Vehicle.Cabin.Infotainment.Media.DeclinedURI","sensor","string","","false","","","","URI of suggested media that was declined","","51b0d6227db55b92bc35eedd8277f4c4"
"Vehicle.Cabin.Infotainment.Media.SelectedURI","actuator","string","","false","","","","URI of suggested media that was selected","","4820f7a961c25e91af12d3417a145d32"
"Vehicle.Cabin.Infotainment.Media.Volume","actuator","uint8","","false","","0","100","Current Media Volume","","8b344688816f5844ae5812bb136c8006"
"Vehicle.Cabin.Infotainment.Navigation","branch","","","false","","","","All navigation actions","","79bb0cc4acae5d1eb34fb214352d7863"
"Vehicle.Cabin.Infotainment.Navigation.DestinationSet","branch","","","false","","","","A navigation has been selected.","","f51ce253dc5b58168ecca99297139455"
"Vehicle.Cabin.Infotainment.Navigation.DestinationSet.Latitude","actuator","double","","false","degrees","-90","90","Latitude of destination","","3e33f3252934565d86de5409c761262b"
"Vehicle.Cabin.Infotainment.Navigation.DestinationSet.Longitude","actuator","double","","false","degrees","-180","180","Longitude of destination","","e9bd511146ca51639c8d42c0702e22ee"
"Vehicle.Cabin.Infotainment.Navigation.CurrentLocation","branch","","V2.1 moved to Vehicle.CurrentLocation","false","","","","The current latitude and longitude of the vehicle.","","12f930405e815048bf5b77db90c7d6e4"
"Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Latitude","sensor","double","V2.1 moved to Vehicle.CurrentLocation.Latitude","false","degrees","-90","90","Current latitude of vehicle, as reported by GPS.","","dceb455713ac56a59e79c0fd25c01a08"
"Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Longitude","sensor","double","V2.1 moved to Vehicle.CurrentLocation.Longitude","false","degrees","-180","180","Current longitude of vehicle, as reported by GPS.","","1a9be9c36a9a5ddc945bfb1e8c1f4384"
"Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Heading","sensor","double","V2.1 moved to Vehicle.CurrentLocation.Heading","false","degrees","0","360","Current magnetic compass heading, in degrees.","","67cd26aaf82e5e9f8a127aabba993003"
"Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Accuracy","sensor","double","V2.1 moved to Vehicle.CurrentLocation.Accuracy","false","m","","","Accuracy level of the latitude and longitude coordinates in meters.","","eb9218c66b1451fcac5cfcf39d36f5da"
"Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Altitude","sensor","double","V2.1 moved to Vehicle.CurrentLocation.Altitude","false","m","","","Current elevation of the position in meters.","","66e2f3fdf1f15b0a9925b674820f19fd"
"Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Speed","sensor","uint16","V2.1 removed because doubled with Vehicle.Speed","false","km/h","0","250","Vehicle speed, as sensed by the GPS receiver.","","e72a72f3d6dc550f824cb03add1ada3b"
"Vehicle.Cabin.Infotainment.HMI","branch","","","false","","","","HMI related signals","","271e3d9202825f37bd054820e5ea8141"
"Vehicle.Cabin.Infotainment.HMI.CurrentLanguage","sensor","string","","false","","","","ISO 639-1 standard language code for the current HMI","","dc29ee5b7f7154b4ab05a9771fe930b3"
"Vehicle.Cabin.Infotainment.HMI.DateFormat","actuator","string","","false","","","","Date format used in the current HMI","['YYYY MM DD', 'DD MM YYYY', 'MM DD YYYY', 'YY MM DD', 'DD MM YY', 'MM DD YY']","0f03c3955fe953e9893a1f52e964919e"
"Vehicle.Cabin.Infotainment.HMI.TimeFormat","actuator","string","","false","","","","Time format used in the current HMI","['12HR', '24HR']","73083b87a4e25c02aee672ea32e40005"
"Vehicle.Cabin.Infotainment.HMI.DistanceUnit","actuator","string","","false","","","","Distance unit used in the current HMI","['mi', 'km']","4b40e8bdb1a053ee9ee35338d8804e7b"
"Vehicle.Cabin.Infotainment.HMI.FuelEconomyUnits","actuator","string","","false","","","","Fuel economy unit used in the current HMI","['mpg_UK', 'mpg_US', 'mpl', 'km/l', 'l/100km']","0e6a43ce1aa45243b753545ffa1f0f8c"
"Vehicle.Cabin.Infotainment.HMI.EVEconomyUnits","actuator","string","","false","","","","EV fuel economy unit used in the current HMI","['mi/kWh', 'km/kWh', 'kWh/100mi', 'kWh/100km', 'Wh/mi', 'Wh/km']","914846f6804757ba81ca6bcfac8d2c48"
"Vehicle.Cabin.Infotainment.HMI.TemperatureUnit","actuator","string","","false","","","","Temperature unit used in the current HMI","['C', 'F']","a7d1533490bb52b6b4f650280e72543d"
"Vehicle.Cabin.Infotainment.HMI.DayNightMode","actuator","string","","false","","","","Current display theme","['Day', 'Night']","a892039ba136588fa26b2670f839c0cc"
"Vehicle.Cabin.Sunroof","branch","","","false","","","","Sun roof status.","","8ff70db05c065e3eb530082a0b6983cf"
"Vehicle.Cabin.Sunroof.Position","sensor","int8","","false","","-100","100","Sunroof position. 0 = Fully closed 100 = Fully opened. -100 = Fully tilted","","ab598697f1c852eda4df9ed62a956d17"
"Vehicle.Cabin.Sunroof.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or shade.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen', 'TiltUp', 'TiltDown']","88c39afd45a25ea2b474ff581e1fb138"
"Vehicle.Cabin.Sunroof.Shade","branch","","","false","","","","Sun roof shade status","","eeaae5977adb5683b16f405993405b2e"
"Vehicle.Cabin.Sunroof.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","3836077128c65381b01e74a1a8be1c40"
"Vehicle.Cabin.Sunroof.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","5f78c2a631b75abc88744f9bad277f5a"
"Vehicle.Cabin.RearviewMirror","branch","","","false","","","","Rearview mirror","","e655b654ab9f55bbb04952a99755efae"
"Vehicle.Cabin.RearviewMirror.DimmingLevel","actuator","uint8","","false","percent","","","Dimming level of rearview mirror. 0 = undimmed. 100 = fully dimmed","","4e2bcbaa6dc1586d8282324b475e5dee"
"Vehicle.Cabin.Lights","branch","","","false","","","","Interior lights signals and sensors","","8b5cd8c4d1e752b38c65a5966c870ccb"
"Vehicle.Cabin.Lights.IsGloveBoxOn","actuator","boolean","","false","","","","Is glove box light on","","f7281175fbc85b4a937b2606e4300f9a"
"Vehicle.Cabin.Lights.IsTrunkOn","actuator","boolean","","false","","","","Is trunk light light on","","3697df4cddc751df847fac74bd32390f"
"Vehicle.Cabin.Lights.IsDomeOn","actuator","boolean","","false","","","","Is central dome light light on","","cc100f4cd2ff5e0593a557a74ebf5d9a"
"Vehicle.Cabin.Lights.AmbientLight","sensor","uint8","","false","percent","0","100","How much ambient light is detected in cabin. 0 = No ambient light. 100 = Full brightness","","cf7bf6bc25c2564383e72ef840e4b47d"
"Vehicle.Cabin.Lights.LightIntensity","sensor","uint8","","false","percent","0","100","Intensity of the interior lights. 0 = Off. 100 = Full brightness.","","a66eba0bae225a56babf3f9ceb65fc76"
"Vehicle.Cabin.Lights.Spotlight","branch","","","false","","","","Spotlight for a specific area in the vehicle.","","8528c64a4c775da3ab01617bbff2e3c9"
"Vehicle.Cabin.Lights.Spotlight.Row1","branch","","","false","","","","Spotlight for a specific area in the vehicle.","","ea2b102268735567b3d7d6c36b34e480"
"Vehicle.Cabin.Lights.Spotlight.Row1.IsSharedOn","sensor","boolean","","false","","","","Is a shared light across a specific row on","","99614d03c27f50a6a32b99b68814e6d7"
"Vehicle.Cabin.Lights.Spotlight.Row1.IsLeftOn","actuator","boolean","","false","","","","Is light on the left side switched on","","c6a9c6b14d725113a087ce7e58a9c90b"
"Vehicle.Cabin.Lights.Spotlight.Row1.IsRightOn","actuator","boolean","","false","","","","Is light on the right side switched on","","7c08ddd9067f5905855cec9f30546fc9"
"Vehicle.Cabin.Lights.Spotlight.Row2","branch","","","false","","","","Spotlight for a specific area in the vehicle.","","504e514166d255439fd3f61acd3d412b"
"Vehicle.Cabin.Lights.Spotlight.Row2.IsSharedOn","sensor","boolean","","false","","","","Is a shared light across a specific row on","","087dd02860965a61a5cba8c66f8dbd36"
"Vehicle.Cabin.Lights.Spotlight.Row2.IsLeftOn","actuator","boolean","","false","","","","Is light on the left side switched on","","15534d254ce851509a8dfae763a9d709"
"Vehicle.Cabin.Lights.Spotlight.Row2.IsRightOn","actuator","boolean","","false","","","","Is light on the right side switched on","","06e866363b5c589db5b446eca0b68c8b"
"Vehicle.Cabin.Lights.Spotlight.Row3","branch","","","false","","","","Spotlight for a specific area in the vehicle.","","c0352a193354597692626b6f0b6d9537"
"Vehicle.Cabin.Lights.Spotlight.Row3.IsSharedOn","sensor","boolean","","false","","","","Is a shared light across a specific row on","","87f00a029ec854d39702ef86e030c00c"
"Vehicle.Cabin.Lights.Spotlight.Row3.IsLeftOn","actuator","boolean","","false","","","","Is light on the left side switched on","","f32530172b1a535cba376e660a3a630a"
"Vehicle.Cabin.Lights.Spotlight.Row3.IsRightOn","actuator","boolean","","false","","","","Is light on the right side switched on","","20424c00cf1d5e49b4287efe186cd263"
"Vehicle.Cabin.Lights.Spotlight.Row4","branch","","","false","","","","Spotlight for a specific area in the vehicle.","","42c09d108927563293adcb93738895a0"
"Vehicle.Cabin.Lights.Spotlight.Row4.IsSharedOn","sensor","boolean","","false","","","","Is a shared light across a specific row on","","8f8de6d5b18f5cc69c9ecd556ce6b6ed"
"Vehicle.Cabin.Lights.Spotlight.Row4.IsLeftOn","actuator","boolean","","false","","","","Is light on the left side switched on","","643c07780d2453e98b5091a39516f7ec"
"Vehicle.Cabin.Lights.Spotlight.Row4.IsRightOn","actuator","boolean","","false","","","","Is light on the right side switched on","","f012d37429aa53d1bf8648d686a804ef"
"Vehicle.Cabin.Door","branch","","","false","","","","All doors, including windows and switches","","fd7f4d16f8965419a9a69fd66b40c1d7"
"Vehicle.Cabin.Door.Row1","branch","","","false","","","","All doors, including windows and switches","","fd3fcb481cb953dc9a853125c6ca0453"
"Vehicle.Cabin.Door.Row1.Left","branch","","","false","","","","All doors, including windows and switches","","ee74ca8275485ea89f70931d3b3e4bed"
"Vehicle.Cabin.Door.Row1.Left.IsOpen","actuator","boolean","","false","","","","Is door open or closed","","a5560fa546985678be670c13a0467545"
"Vehicle.Cabin.Door.Row1.Left.IsLocked","actuator","boolean","","false","","","","Is door locked or unlocked. True = Locked. False = Unlocked.","","859b44ab75de5d67a8beedff883a72d0"
"Vehicle.Cabin.Door.Row1.Left.Window","branch","","","false","","","","Door window status","","abbf75f4e6b9581db4aacda0f1e2789c"
"Vehicle.Cabin.Door.Row1.Left.Window.isOpen","sensor","boolean","","false","","","","Is door open or closed","","d21b53d7aa0c5d96adeb9fdf280ba071"
"Vehicle.Cabin.Door.Row1.Left.Window.Position","sensor","uint8","","false","percent","0","100","Window position. 0 = Fully closed 100 = Fully opened.","","63137367f94856acbb900a0dcdc7e495"
"Vehicle.Cabin.Door.Row1.Left.Window.ChildLock","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","58dbf7e3a85d55ae94750a77cf653110"
"Vehicle.Cabin.Door.Row1.Left.Window.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","e276bf971dae507f99b463f7fe574969"
"Vehicle.Cabin.Door.Row1.Left.IsChildLockActive","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","194a1dd29e245ff8a19dee7e022bad02"
"Vehicle.Cabin.Door.Row1.Left.Shade","branch","","","false","","","","Side window shade","","f1a8db725cfd54c5b22594c456bcb05a"
"Vehicle.Cabin.Door.Row1.Left.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","15c012ed31a054ecb2b9b2b1cf57e825"
"Vehicle.Cabin.Door.Row1.Left.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","a4c73477293156999f74416245d4f858"
"Vehicle.Cabin.Door.Row1.Right","branch","","","false","","","","All doors, including windows and switches","","f1140cf0720157a1a2ffb62745a82916"
"Vehicle.Cabin.Door.Row1.Right.IsOpen","actuator","boolean","","false","","","","Is door open or closed","","055c01ebe86f507b97d15cfba82482a9"
"Vehicle.Cabin.Door.Row1.Right.IsLocked","actuator","boolean","","false","","","","Is door locked or unlocked. True = Locked. False = Unlocked.","","7e5cf60543505205922b714cee2a3246"
"Vehicle.Cabin.Door.Row1.Right.Window","branch","","","false","","","","Door window status","","12e8cf5eb1c65954bb92f5144e2b22f9"
"Vehicle.Cabin.Door.Row1.Right.Window.isOpen","sensor","boolean","","false","","","","Is door open or closed","","777ebd3cc5e35e818029bf8b95ba74d6"
"Vehicle.Cabin.Door.Row1.Right.Window.Position","sensor","uint8","","false","percent","0","100","Window position. 0 = Fully closed 100 = Fully opened.","","e7ef528471eb585a937664abab9fbc68"
"Vehicle.Cabin.Door.Row1.Right.Window.ChildLock","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","92daa968de5956cfaef588b9cf41d608"
"Vehicle.Cabin.Door.Row1.Right.Window.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","fcb9ede77f065479a10740324c0efdc6"
"Vehicle.Cabin.Door.Row1.Right.IsChildLockActive","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","2eedf9e01c225ff39ee62a7c11395d6c"
"Vehicle.Cabin.Door.Row1.Right.Shade","branch","","","false","","","","Side window shade","","f8f91480eb7c59d6ad697f2f9b2f46f1"
"Vehicle.Cabin.Door.Row1.Right.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","763aea099a515fc998fde10d936b0b38"
"Vehicle.Cabin.Door.Row1.Right.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","22944f205eb45c6f804e481b8dd783c5"
"Vehicle.Cabin.Door.Row2","branch","","","false","","","","All doors, including windows and switches","","74c8a76ad2545ceba474a85ae84eec8e"
"Vehicle.Cabin.Door.Row2.Left","branch","","","false","","","","All doors, including windows and switches","","20c6ae3bdb9b5fc8b8098d87f06c9069"
"Vehicle.Cabin.Door.Row2.Left.IsOpen","actuator","boolean","","false","","","","Is door open or closed","","0143c6028c355f29ae5b3ee2d31869a8"
"Vehicle.Cabin.Door.Row2.Left.IsLocked","actuator","boolean","","false","","","","Is door locked or unlocked. True = Locked. False = Unlocked.","","5fb9d9707cd85925ab6658d90f044b45"
"Vehicle.Cabin.Door.Row2.Left.Window","branch","","","false","","","","Door window status","","424d04d0ae8351af8c7115b131f1fe2e"
"Vehicle.Cabin.Door.Row2.Left.Window.isOpen","sensor","boolean","","false","","","","Is door open or closed","","d2aea63f1e145bcaaa2cfb016972db92"
"Vehicle.Cabin.Door.Row2.Left.Window.Position","sensor","uint8","","false","percent","0","100","Window position. 0 = Fully closed 100 = Fully opened.","","6eeda05cd5d357958a0b0649b1b406f8"
"Vehicle.Cabin.Door.Row2.Left.Window.ChildLock","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","78aec9d9dfbb53a38b1b06f6ebb6f48c"
"Vehicle.Cabin.Door.Row2.Left.Window.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","1a5d1c57f46e576a8a94853e2a44d3f8"
"Vehicle.Cabin.Door.Row2.Left.IsChildLockActive","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","1c08760700ca5814a62bac4e64628f8e"
"Vehicle.Cabin.Door.Row2.Left.Shade","branch","","","false","","","","Side window shade","","beed1cdec4fb502390041087feaaa1bd"
"Vehicle.Cabin.Door.Row2.Left.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","41f6f14bbb595dcf8e51d1696e877114"
"Vehicle.Cabin.Door.Row2.Left.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","33d7bdce5c915c3ea9633851f4f79cfb"
"Vehicle.Cabin.Door.Row2.Right","branch","","","false","","","","All doors, including windows and switches","","e40a30e4838f5aaa970888d2865bc19e"
"Vehicle.Cabin.Door.Row2.Right.IsOpen","actuator","boolean","","false","","","","Is door open or closed","","06f3b61e354f5db7b5b0e7f551fac582"
"Vehicle.Cabin.Door.Row2.Right.IsLocked","actuator","boolean","","false","","","","Is door locked or unlocked. True = Locked. False = Unlocked.","","51e82637cc1a5c6994e1928402a29419"
"Vehicle.Cabin.Door.Row2.Right.Window","branch","","","false","","","","Door window status","","18950f3ff3a1598585a603c4224ad7bd"
"Vehicle.Cabin.Door.Row2.Right.Window.isOpen","sensor","boolean","","false","","","","Is door open or closed","","d7ac920fde8052a4910fe37d5e1c7e4a"
"Vehicle.Cabin.Door.Row2.Right.Window.Position","sensor","uint8","","false","percent","0","100","Window position. 0 = Fully closed 100 = Fully opened.","","f6323b78eecc58e5a9bc5d66f2548ce3"
"Vehicle.Cabin.Door.Row2.Right.Window.ChildLock","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","f8b7ee44a4bd51fa9de1916382a0ba5b"
"Vehicle.Cabin.Door.Row2.Right.Window.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","364c0a712fa854b4b1b332eae1be179b"
"Vehicle.Cabin.Door.Row2.Right.IsChildLockActive","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","c3747fdce0835d9abf8030917f3a6d3c"
"Vehicle.Cabin.Door.Row2.Right.Shade","branch","","","false","","","","Side window shade","","092479bc8da55730827f3365828c89b2"
"Vehicle.Cabin.Door.Row2.Right.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","5b94a0c4e30a575c93942f0566be8be7"
"Vehicle.Cabin.Door.Row2.Right.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","fa705739512a54e9a103ff356be14df7"
"Vehicle.Cabin.Door.Row3","branch","","","false","","","","All doors, including windows and switches","","9bd34029c3aa5f6a9d8f1762575c870a"
"Vehicle.Cabin.Door.Row3.Left","branch","","","false","","","","All doors, including windows and switches","","81df92fa3f7954dbb7c282107d09d5ff"
"Vehicle.Cabin.Door.Row3.Left.IsOpen","actuator","boolean","","false","","","","Is door open or closed","","090fec1c1b7751d7a2c5c080e3248813"
"Vehicle.Cabin.Door.Row3.Left.IsLocked","actuator","boolean","","false","","","","Is door locked or unlocked. True = Locked. False = Unlocked.","","eae24396e5485615b056903470437581"
"Vehicle.Cabin.Door.Row3.Left.Window","branch","","","false","","","","Door window status","","9437a3e97ac458faaf846c2137d4e364"
"Vehicle.Cabin.Door.Row3.Left.Window.isOpen","sensor","boolean","","false","","","","Is door open or closed","","457de201470e5f7196af4cfff8784028"
"Vehicle.Cabin.Door.Row3.Left.Window.Position","sensor","uint8","","false","percent","0","100","Window position. 0 = Fully closed 100 = Fully opened.","","ce03332ee75550c98eb6f0f9aa7048de"
"Vehicle.Cabin.Door.Row3.Left.Window.ChildLock","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","a2b7f69b204f52fd8a3cc5327d37d486"
"Vehicle.Cabin.Door.Row3.Left.Window.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","af1eddd0ab095bbd9b09420ff8755274"
"Vehicle.Cabin.Door.Row3.Left.IsChildLockActive","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","ba309e9ad67e50feb87fc567407587d9"
"Vehicle.Cabin.Door.Row3.Left.Shade","branch","","","false","","","","Side window shade","","d7d62d632d655b3f89c58190f3ed49a0"
"Vehicle.Cabin.Door.Row3.Left.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","9e628babb6a75b839dbbc7018adb343d"
"Vehicle.Cabin.Door.Row3.Left.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","5f5a361aa7b35313a5f050570077b7ed"
"Vehicle.Cabin.Door.Row3.Right","branch","","","false","","","","All doors, including windows and switches","","306fe09c36bd52498d61d4a5c9bd6332"
"Vehicle.Cabin.Door.Row3.Right.IsOpen","actuator","boolean","","false","","","","Is door open or closed","","b0947567c53557a787aac28c33c144ad"
"Vehicle.Cabin.Door.Row3.Right.IsLocked","actuator","boolean","","false","","","","Is door locked or unlocked. True = Locked. False = Unlocked.","","5ca204c8d57d5a7199899daa23427796"
"Vehicle.Cabin.Door.Row3.Right.Window","branch","","","false","","","","Door window status","","ba09e8bcbcff52b887a7254e01e440c0"
"Vehicle.Cabin.Door.Row3.Right.Window.isOpen","sensor","boolean","","false","","","","Is door open or closed","","46270435851d51f5a9ff6fc72f92329b"
"Vehicle.Cabin.Door.Row3.Right.Window.Position","sensor","uint8","","false","percent","0","100","Window position. 0 = Fully closed 100 = Fully opened.","","6014bfdd3acf51a7923bfe91ad9f59e3"
"Vehicle.Cabin.Door.Row3.Right.Window.ChildLock","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","89f0d1cbc4275b4f81769e52d126ed40"
"Vehicle.Cabin.Door.Row3.Right.Window.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","df1e26d4fa8f59e08f7534c75c04e92b"
"Vehicle.Cabin.Door.Row3.Right.IsChildLockActive","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","7c32cebd35515583973213af366c82d3"
"Vehicle.Cabin.Door.Row3.Right.Shade","branch","","","false","","","","Side window shade","","66a8f457594554a38ffa76595f403c3e"
"Vehicle.Cabin.Door.Row3.Right.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","1a208a1e73a45193bd8ef35f1ad16629"
"Vehicle.Cabin.Door.Row3.Right.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","fba27a31b8755fc3be749268ba673c6a"
"Vehicle.Cabin.Door.Row4","branch","","","false","","","","All doors, including windows and switches","","de168db7de0c5081b53190ef43ff63da"
"Vehicle.Cabin.Door.Row4.Left","branch","","","false","","","","All doors, including windows and switches","","ebe3821a88a756fc8b24a3aa1efe2b97"
"Vehicle.Cabin.Door.Row4.Left.IsOpen","actuator","boolean","","false","","","","Is door open or closed","","7d284904b4325dd9b0c581546fb477ca"
"Vehicle.Cabin.Door.Row4.Left.IsLocked","actuator","boolean","","false","","","","Is door locked or unlocked. True = Locked. False = Unlocked.","","31e785ff9529565db891c781c68d09c6"
"Vehicle.Cabin.Door.Row4.Left.Window","branch","","","false","","","","Door window status","","32b297ac4e645c719a8227dbf063fc47"
"Vehicle.Cabin.Door.Row4.Left.Window.isOpen","sensor","boolean","","false","","","","Is door open or closed","","8cf92e7406c15113a5ddc7ea27fa481a"
"Vehicle.Cabin.Door.Row4.Left.Window.Position","sensor","uint8","","false","percent","0","100","Window position. 0 = Fully closed 100 = Fully opened.","","71a140b91c2e5ae98f862023e56fe79c"
"Vehicle.Cabin.Door.Row4.Left.Window.ChildLock","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","1b68c0a013a55056b8e2970b3747be60"
"Vehicle.Cabin.Door.Row4.Left.Window.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","a1a1d21972425886a3201ceb26024569"
"Vehicle.Cabin.Door.Row4.Left.IsChildLockActive","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","7552b5304b14599a990b11bf3966d196"
"Vehicle.Cabin.Door.Row4.Left.Shade","branch","","","false","","","","Side window shade","","1e45e7e7984853389bbbef5d901dc9ba"
"Vehicle.Cabin.Door.Row4.Left.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","7932c7c3c9f3580b8ca063f7cb173153"
"Vehicle.Cabin.Door.Row4.Left.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","483fcd6347e256dda1423406da5ad629"
"Vehicle.Cabin.Door.Row4.Right","branch","","","false","","","","All doors, including windows and switches","","13a9301d61c55d94ab4e7c2c9e679b95"
"Vehicle.Cabin.Door.Row4.Right.IsOpen","actuator","boolean","","false","","","","Is door open or closed","","f21754a4e30851f79beaf8081dd69548"
"Vehicle.Cabin.Door.Row4.Right.IsLocked","actuator","boolean","","false","","","","Is door locked or unlocked. True = Locked. False = Unlocked.","","9e8d9e8654425a568f90d37a876e7d55"
"Vehicle.Cabin.Door.Row4.Right.Window","branch","","","false","","","","Door window status","","fa87a014fc515378a5a65417861cfab3"
"Vehicle.Cabin.Door.Row4.Right.Window.isOpen","sensor","boolean","","false","","","","Is door open or closed","","b82f30ba5cba5ff6b9102f1b442dc1ac"
"Vehicle.Cabin.Door.Row4.Right.Window.Position","sensor","uint8","","false","percent","0","100","Window position. 0 = Fully closed 100 = Fully opened.","","6f527bcf3e435b188f9923a1477eb268"
"Vehicle.Cabin.Door.Row4.Right.Window.ChildLock","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","52a832c36ce157758de81266aafe05e4"
"Vehicle.Cabin.Door.Row4.Right.Window.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","73f5c0b1a4865c7ba597ca0956ba828b"
"Vehicle.Cabin.Door.Row4.Right.IsChildLockActive","sensor","boolean","","false","","","","Is door child lock engaged. True = Engaged. False = Disengaged.","","dea663d623225f319836dbcdc647b493"
"Vehicle.Cabin.Door.Row4.Right.Shade","branch","","","false","","","","Side window shade","","2497c5c27fd85679a4db328b1f1f0ed5"
"Vehicle.Cabin.Door.Row4.Right.Shade.Switch","actuator","string","","false","","","","Switch controlling sliding action such as window, sunroof, or blind.","['Inactive', 'Close', 'Open', 'OneShotClose', 'OneShotOpen']","186315850fa752c5838f38883ec78acd"
"Vehicle.Cabin.Door.Row4.Right.Shade.Position","actuator","uint8","","false","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","e998932b8f0a503287cf4af078cdde29"
"Vehicle.Cabin.DoorCount","attribute","uint8","","false","","","","Number of doors in vehicle","","c293fbef75725c57a9918dd5a34055c4"
"Vehicle.Cabin.Seat","branch","","","false","","","","All seats.","","b0b253106b2851e3bb5c71ae3b09f09d"
"Vehicle.Cabin.Seat.Row1","branch","","","false","","","","All seats.","","7a420ddeac6f538eb3939bb4a242d136"
